name,url,Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Current_Country_Of_Reg,Imported,County,Independant_Dealer,Dublin2,Model,Price,Engine_Size,External_Length,Fuel_Tank_Capacity,External_Width,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,External_Height,Boot_Volume,Ground_Clearance,Euro_NCAP_Overall_Safety_Rating,Engine_Power,Top_Speed,Acceleration,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Battery_Capacity
Fiat 500 2014,https://www.donedeal.ie/cars-for-sale/fiat-500-2014/39362223,Lounge,"49,000 mi",1.2 L Petrol,Sep 2025,2014,Manual,2,Fiat,Petrol,Hatchback,3,Luxury Trim,4,Purple,200,Ireland,UK,,"Private Seller
No rating yet","Kildangan, Co. Kildare",500,"€7,500",1.2 L,3.55 m,,1.63 m,4.3 L/100 km,5.1 L/100 km,6.4 L/100 km,1.49 m,,,,,,,,,,,
"2016 VOLKSWAGEN POLO 1.2TSI 5DR AUTO ONLY 60,000KM",https://www.donedeal.ie/cars-for-sale/2016-volkswagen-polo-1-2tsi-5dr-auto-only-60-000km/39362127,all,"60,096 km",1.2 L Petrol,---,2016,Automatic,1,Volkswagen,Petrol,Hatchback,5,---,5,Red,190,Ireland,Unknown,Co. Louth,Independent Dealer,"Dundalk, Co. Louth",Polo,"€12,750",1.2 L,,,,,,,,,,,,,,,,,,
Alfa Romeo Giulietta SUPER SPORT 1.6 DSL 2018,https://www.donedeal.ie/cars-for-sale/alfa-romeo-giulietta-super-sport-1-6-dsl-2018/39362229,Super Sport,"187,000 km",1.6 L Diesel,Jan 2026,2018,Manual,1,Alfa Romeo,Diesel,Hatchback,5,Medium Trim,5,Red,180,Ireland,No,Co. Cork,"Franchise Dealer
4.3/5","Cork City, Co. Cork",Giulietta,"€14,950",1.6 L,4.35 m,,1.80 m,3.2 L/100 km,3.8 L/100 km,4.7 L/100 km,1.47 m,,,,,,,,,,,
Volkswagen Polo 75 Edition 1.0tsi 95hp Manual,https://www.donedeal.ie/cars-for-sale/volkswagen-polo-75-edition-1-0tsi-95hp-manual/39362096,---,30 km,1.0 L Petrol,---,2025,Manual,1,Volkswagen,Petrol,Hatchback,5,---,---,Silver,,Ireland,No,Co. Dublin,"Franchise Dealer
4.4/5",Co. Dublin,Polo,"€26,495",,,,,,,,,,,,,,,,,,,
Citroen C4 Cactus Bluehdi100 Flair,https://www.donedeal.ie/cars-for-sale/citroen-c4-cactus-bluehdi100-flair/38522298,Flair,"90,101 mi",1.6 L Diesel,Jan 2026,2018,Manual,2,Citroen,Diesel,Hatchback,4,Luxury Trim,5,Grey,,Ireland,No,Co. Dublin,Independent Dealer,"Dublin 16, Co. Dublin",C4,"€11,950",1.6 L,4.16 m,,1.73 m,,,,1.53 m,"1,170 L",,4/5,,,,79%,56%,82%,80%,
Honda Fit/Jzz 1.5 Hybrid 2014,https://www.donedeal.ie/cars-for-sale/honda-fit-jzz-1-5-hybrid-2014/39362201,---,"109,208 km",1.5 L Petrol Hybrid,Apr 2026,2014,Automatic,2,Honda,Petrol Hybrid,Hatchback,5,---,5,Silver,170,Ireland,Unknown country,Co. Dublin,Independent Dealer,Co. Dublin,Fit,"€8,950",,,,,,,,,,,,,,,,,,,
Honda Fit HV L 1.5 Hybrid Automatic Reversing Ca,https://www.donedeal.ie/cars-for-sale/honda-fit-hv-l-1-5-hybrid-automatic-reversing-ca/38759232,---,"44,196 mi",1.5 L Petrol,Apr 2027,2019,Automatic,---,Honda,Petrol,Hatchback,5,---,---,Red,,,,Co. Limerick,Independent Dealer,Co. Limerick,Fit,"€14,995",,,,,,,,,,,,,,,,,,,
VW Golf GT Sport(New NCT),https://www.donedeal.ie/cars-for-sale/vw-golf-gt-sportnew-nct/39148256,N,"173,000 mi",1.4 L Petrol,Dec 2025,2008,Manual,8,Volkswagen,,,,,,,,Ireland,No,,"Private Seller
5.0/5 (1)","Dublin 18, Co. Dublin",Golf,"€2,950",,,,,,,,,,,,,,,,,,,
Volkswagen Polo 75 Edition 1.0tsi 95hp Manual,https://www.donedeal.ie/cars-for-sale/volkswagen-polo-75-edition-1-0tsi-95hp-manual/39362079,---,30 km,1.0 L Petrol,---,2025,Manual,1,Volkswagen,Petrol,Hatchback,5,---,---,Black,,Ireland,No,Co. Dublin,"Franchise Dealer
4.4/5",Co. Dublin,Polo,"€26,495",,,,,,,,,,,,,,,,,,,
Opel Insignia 1.5 Tech Line NAV Turbo 5DR,https://www.donedeal.ie/cars-for-sale/opel-insignia-1-5-tech-line-nav-turbo-5dr/38744941,---,"68,974 mi",1.5 L Petrol,Mar 2026,2018,Manual,2,Opel,Petrol,Hatchback,5,---,---,Grey,,Ireland,UK,Co. Dublin,Independent Dealer,"Dublin 16, Co. Dublin",Insignia,"€11,950",,,,,,,,,,,,,,,,,,,
Ford Fiesta MCA Zetec 1.25 60ps M5 5DR 4DR,https://www.donedeal.ie/cars-for-sale/ford-fiesta-mca-zetec-1-25-60ps-m5-5dr-4dr/39141183,Zetec,"82,023 mi",1.2 L Petrol,Nov 2025,2015,Manual,2,Ford,Petrol,Hatchback,4,Medium Trim,5,Silver,,Ireland,No,Co. Dublin,Independent Dealer,"Dublin 16, Co. Dublin",Fiesta,"€8,450",1.2 L,3.97 m,,1.72 m,,,,1.47 m,974 L,,5/5,,,,86%,71%,91%,65%,
Skoda Karoq 2 0 TDI Sportline SCR 4X4,https://www.donedeal.ie/cars-for-sale/skoda-karoq-2-0-tdi-sportline-scr-4x4/39037116,Sportline,"40,390 mi",2.0 L Diesel,Aug 2026,2020,Automatic,1,Skoda,Diesel,Hatchback,---,Sports Trim,5,White,,Ireland,N. Ireland,Co. Dublin,Independent Dealer,"Dublin 16, Co. Dublin",Karoq,"€35,900",2.0 L,4.38 m,,1.84 m,,,,,"1,630 L",,5/5,,,,79%,58%,93%,73%,
Opel Astra 2011 Read ad,https://www.donedeal.ie/cars-for-sale/opel-astra-2011-read-ad/39362166,S,"260,000 km",1.2 L Diesel,Sep 2025,2011,Manual,6,Opel,Diesel,Hatchback,5,Base Trim,5,Black,190,Ireland,No,,"Private Seller
No rating yet","Navan, Co. Meath",Astra,"€1,000",1.2 L,4.42 m,,1.81 m,3.6 L/100 km,4.2 L/100 km,5.1 L/100 km,1.51 m,,,,,,,,,,,
