Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Counties,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section,combined,sentiment,sentiment3,sentiment2
LXE,165000.0,1.7 L Diesel,Jul 2025,2014.0,Manual,5,Kia,Diesel,SUV,4,Base Trim,5,Orange,280.0,4.8 L/100 km,5.3 L/100 km,6.3 L/100 km,1.7 L,4.44 m,1.65 m,1.86 m,,,,,,Ireland,No,"Trader
1.3/5 (3)","Galway City, Co. Galway",Sportage,7950.0,,,,,,,,,selection1,Kia Sportage,0.1666666666666666,1,4
M Sport,164152.68,3.0 L Diesel,Mar 2027,2017.0,Automatic,1,BMW,Diesel,SUV,5,Luxury Trim,7,Black,600.0,5.5 L/100 km,6.0 L/100 km,6.8 L/100 km,3.0 L,4.89 m,1.76 m,1.94 m,,,,,,Ireland,UK,"Verified Private Seller
No rating yet","Carrowmore, Co. Sligo",X5,40500.0,"1,870 L",21 cm,,85 L,,,,,selection1,BMW X5,0.1627846790890269,1,4
N,333855.0,2.0 L Diesel,Apr 2026,2010.0,---,4,BMW,,,,,,,280.0,,,,,,,,,,,,,Ireland,UK,"Private Seller
No rating yet","Birdhill, Co. Tipperary",X1,3750.0,,,,,,,,,selection1,BMW X1,0.1983333333333333,1,2
SE,188000.0,2.0 L Diesel,Sep 2025,2017.0,Automatic,1,Audi,Diesel,Saloon,4,Base Trim,5,Black,190.0,3.9 L/100 km,4.4 L/100 km,5.2 L/100 km,2.0 L,4.93 m,1.46 m,1.87 m,5/5,83%,86%,91%,41%,Ireland,UK,"Verified Private Seller
No rating yet","Clonee, Co. Dublin",A6,16500.0,,,,,,,,,selection1,Audi A6,0.4166666666666667,2,5
---,13.0,1.6 L Petrol Hybrid,---,2025.0,Automatic,---,Hyundai,Petrol Hybrid,SUV,---,---,---,Cream,,,,,,,,,,,,,,,,"Franchise Dealer
4.6/5","Waterford City, Co. Waterford",Santa Fe,69844.0,,,Co. Waterford,,,,,,selection1,Hyundai Santa Fe,0.3415223665223665,2,4
SV Premium,21854.0,1.3 L Petrol,Jul 2027,2023.0,Manual,1,Nissan,Petrol,MPV,4,Medium Trim,5,Red,270.0,,6.4 L/100 km,,1.3 L,4.43 m,,1.84 m,,,,,,Ireland,No,"Franchise Dealer
4.4/5","Roscrea, Co. Tipperary",Qashqai,37500.0,,,Co. Tipperary,,,,,,selection1,Nissan Qashqai,0.019047619047619,1,2
Active,177750.0,1.6 L Diesel,Nov 2025,2014.0,Manual,1,Peugeot,Diesel,SUV,5,Medium Trim,5,Grey,270.0,4.2 L/100 km,4.8 L/100 km,5.8 L/100 km,1.6 L,4.37 m,1.64 m,1.84 m,,,,,,Ireland,UK,"Independent Dealer
4.7/5",Co. Mayo,3008,8950.0,"1,241 L",,Co. Mayo,,,,,,selection1,Peugeot 3008,0.3333333333333333,2,4
Titanium,103065.35228,1.5 L Diesel,Jul 2026,2020.0,Manual,2,Ford,Diesel,MPV,5,Base Trim,5,Grey,,,,,1.5 L,4.61 m,1.68 m,1.88 m,5/5,86%,73%,92%,82%,Ireland,No,Franchise Dealer,Co. Galway,Kuga,22995.0,"1,534 L",19 cm,Co. Galway,54 L,,,,,selection1,Ford Kuga,0.2831313131313131,2,3
SV,8558.0,1.5 L Hybrid,Jan 2028,2024.0,Automatic,1,Nissan,Hybrid,MPV,4,Medium Trim,5,Grey,190.0,,5.3 L/100 km,,1.5 L,4.43 m,,1.84 m,5/5,91%,95%,91%,70%,Ireland,No,"Franchise Dealer
4.6/5","Dublin 5, Co. Dublin",Qashqai,37895.0,"1,593 L",,Co. Dublin,55 L,190 hp,198 km/h,2 kWh,7.9 sec,selection1,Nissan Qashqai,0.019047619047619,1,2
Style,20477.0,1.5 L Petrol,Feb 2027,2023.0,Automatic,1,Volkswagen,Petrol,SUV,5,Medium Trim,5,Black,,,,,1.5 L,4.24 m,,1.82 m,5/5,87%,71%,96%,79%,Ireland,No,"Franchise Dealer
4.5/5","Skibbereen, Co. Cork",T-Roc,37995.0,"1,290 L",,Co. Cork,50 L,,,,,selection1,Volkswagen T-Roc,0.1166666666666666,1,2
