Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Counties,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section,combined,sentiment,sentiment3,sentiment2
Life,56620.0,2.0 L Diesel,Apr 2027,2023.0,Manual,1,Volkswagen,Diesel,SUV,5,Medium Trim,5,Grey,210.0,,5.1 L/100 km,,2.0 L,4.49 m,,1.84 m,5/5,84%,68%,96%,72%,Ireland,No,Independent Dealer,"Bishopstown, Co. Cork",Tiguan,35900.0,,,Co. Cork,,,,,,selection1,Volkswagen Tiguan,0.1372402597402597,1,2
Pro Plus,10.0,417 km (WLTP) Electric,---,2025.0,Automatic,---,Volkswagen,Electric,Estate,5,Medium Trim,5,Grey,120.0,,,,,4.26 m,,1.81 m,5/5,89%,88%,87%,71%,Ireland,No,"Franchise Dealer
4.6/5",Co. Galway,ID.3,36995.0,"1,267 L",,Co. Galway,,,,,,selection1,Volkswagen ID.3,0.0,1,1
ST-Line,33000.0,1.0 L Petrol Hybrid,Jul 2025,2021.0,Manual,1,Ford,Petrol Hybrid,MPV,4,Sports Trim,5,Black,,,,,1.0 L,4.21 m,1.55 m,1.81 m,5/5,84%,74%,94%,77%,Ireland,No,Franchise Dealer,Co. Dublin,Puma,25950.0,"1,161 L",16 cm,Co. Dublin,42 L,,,,,selection1,Ford Puma,0.0650694133452754,1,2
all,35814.0,285 km Electric,---,2021.0,Automatic,1,Audi,Electric,SUV,5,Medium Trim,5,Red,120.0,,,,,4.90 m,1.63 m,1.94 m,5/5,,,,,UK,,"Independent Dealer
4.8/5","Dublin 22, Co. Dublin",e-tron,35999.0,"1,725 L",,Co. Dublin,,313 hp,,,6.8 sec,selection1,Audi e-tron,0.3371428571428572,1,3
S Line,80978.77012,2.0 L Diesel,Apr 2027,2020.0,Automatic,1,Audi,Diesel,Saloon,5,Sports Trim,5,Black,200.0,4.1 L/100 km,4.4 L/100 km,4.9 L/100 km,2.0 L,4.94 m,1.46 m,1.89 m,5/5,,,,,Ireland,Unknown,Independent Dealer,"Cavan, Co. Cavan",A6,41995.0,,,,,,,,,selection1,Audi A6,0.4166666666666667,2,5
---,167371.36,2.0 L Diesel Hybrid,Apr 2027,2018.0,Automatic,3,Audi,Diesel Hybrid,Saloon,4,---,5,Grey,200.0,,,,,,,,,,,,,UK,,Independent Dealer,"Cavan, Co. Cavan",A6,31995.0,,,,,,,,,selection1,Audi A6,0.4166666666666667,2,5
M Sport,74200.23004,3.0 L Petrol Hybrid,Mar 2025,2022.0,Automatic,0,BMW,Petrol Hybrid,SUV,5,Sports Trim,5,Black,140.0,,10.2 L/100 km,,3.0 L,4.92 m,1.75 m,2.00 m,,,,,,Ireland,No,Independent Dealer,"Cavan, Co. Cavan",X5,69995.0,"1,860 L",21 cm,,69 L,,,,,selection1,BMW X5,0.1627846790890269,1,4
---,99447.55596,2.0 L Diesel,Mar 2027,2021.0,Automatic,1,Volkswagen,Diesel,Hatchback,5,---,5,Blue,200.0,,,,,,,,,,,,,UK,,Independent Dealer,"Cavan, Co. Cavan",Golf,34995.0,,,,,,,,,selection1,Volkswagen Golf,0.0,1,5
TAKE UP,133632.0,1.0 L Petrol,Sep 2026,2016.0,Manual,3,Volkswagen,Petrol,Hatchback,5,Base Trim,4,Black,,,,,1.0 L,3.54 m,1.49 m,1.65 m,,,,,,Ireland,No,"Franchise Dealer
4.8/5",Co. Wexford,up!,6950.0,959 L,14 cm,Co. Wexford,35 L,,,,,selection1,Volkswagen up!,0.2115384615384615,1,3
Deluxe,40864.0,1.0 L Petrol,Sep 2025,2021.0,Manual,---,Hyundai,Petrol,Hatchback,5,Medium Trim,5,Black,190.0,,5.3 L/100 km,,1.0 L,3.67 m,1.48 m,1.68 m,3/5,75%,59%,69%,52%,Ireland,No,Independent Dealer,Co. Cork,i10,14995.0,"1,010 L",15 cm,Co. Cork,36 L,,,,,selection1,Hyundai i10,0.2582465277777777,2,3
---,14447.04518,1.5 L Hybrid,---,2023.0,Automatic,---,Honda,Hybrid,---,5,---,5,Grey,180.0,,,,,,,,,,,,,Northern Ireland,,Franchise Dealer,Co. Antrim,Jazz,19884.15,,,,,,,,,selection1,Honda Jazz,0.2272108843537415,1,2
R-Line,117752.18912,2.0 L Diesel,Apr 2027,2021.0,Manual,1,Volkswagen,Diesel,SUV,5,Luxury Trim,5,Black,270.0,,,,2.0 L,4.49 m,1.65 m,1.84 m,,,,,,Ireland,No,Independent Dealer,"Cavan, Co. Cavan",Tiguan,39995.0,,,,,,,,,selection1,Volkswagen Tiguan,0.1372402597402597,1,2
R-Line,10508.9902,2.0 L Diesel,Jun 2028,2024.0,Automatic,1,Volkswagen,Diesel,SUV,5,Sports Trim,5,Red,270.0,,5.7 L/100 km,,2.0 L,4.49 m,,1.84 m,,,,,,Ireland,No,Independent Dealer,"Cavan, Co. Cavan",Tiguan,58995.0,,,,,,,,,selection1,Volkswagen Tiguan,0.1372402597402597,1,2
Sol,122500.0,1.8 L Petrol Hybrid,Apr 2025,2021.0,Automatic,2,Toyota,Petrol Hybrid,Hatchback,4,Luxury Trim,5,Black,190.0,,5.0 L/100 km,,1.8 L,4.39 m,,1.80 m,5/5,77%,78%,95%,76%,Ireland,No,"Franchise Dealer
4.7/5",Co. Limerick,C-HR,23995.0,,,Co. Limerick,,122 hp,170 km/h,0.7 kWh,11.0 sec,selection1,Toyota C-HR,0.0,1,5
-,85000.0,2.5 L Petrol Hybrid,Jan 2025,2021.0,Automatic,2,Toyota,Petrol Hybrid,Saloon,4,Base Trim,5,Red,200.0,4.2 L/100 km,4.3 L/100 km,4.8 L/100 km,2.5 L,4.89 m,1.45 m,1.84 m,,,,,,Ireland,No,Independent Dealer,Co. Dublin,Camry,29999.0,,,,,,,,,selection1,Toyota Camry,0.1972727272727272,1,2
SE,205000.0,2.0 L Diesel,Mar 2027,2019.0,Automatic,3,Audi,Diesel,Saloon,4,Base Trim,5,Black,200.0,4.0 L/100 km,4.3 L/100 km,4.9 L/100 km,2.0 L,4.74 m,1.43 m,1.84 m,5/5,87%,75%,89%,75%,Ireland,No,"Private Seller
No rating yet","Santry, Co. Dublin",A4,19450.0,,,,40 L,,,,,selection1,Audi A4,0.1259649122807017,1,2
Style,11.0,1.0 L Petrol,---,2024.0,Manual,1,Volkswagen,Petrol,Hatchback,5,Medium Trim,5,Black,,,,,1.0 L,4.07 m,,1.75 m,5/5,85%,59%,96%,76%,Ireland,No,"Franchise Dealer
3.8/5",Co. Cork,Polo,25495.0,"1,125 L",,Co. Cork,40 L,,,,,selection1,Volkswagen Polo,0.3681818181818181,2,1
---,0.0,1.5 L Petrol,---,2025.0,Automatic,---,Volkswagen,Petrol,Hatchback,---,---,---,Silver,,,,,,,,,,,,,,,,Franchise Dealer,"Letterkenny, Co. Donegal",Golf,45458.0,,,Co. Donegal,,,,,,selection1,Volkswagen Golf,0.0,1,5
SV PREMIUM,15477.0,1.6 L Petrol,Jul 2027,2023.0,Automatic,2,Nissan,Petrol,SUV,4,Medium Trim,5,Blue,190.0,,5.1 L/100 km,,1.6 L,4.21 m,,1.80 m,5/5,85%,73%,94%,81%,Ireland,No,"Franchise Dealer
4.4/5","Boyle, Co. Roscommon",Juke,29950.0,"1,305 L",,Co. Roscommon,46 L,,,,,selection1,Nissan Juke,0.0907860614228538,1,1
Trendline,245000.0,1.6 L Diesel,Aug 2026,2016.0,Manual,4,Volkswagen,Diesel,Saloon,4,Base Trim,5,Silver,190.0,3.6 L/100 km,4.0 L/100 km,4.7 L/100 km,1.6 L,4.77 m,1.46 m,1.83 m,,,,,,Ireland,No,"Private Seller
No rating yet","Swords, Co. Dublin",Passat,9850.0,,,,66 L,,,,,selection1,Volkswagen Passat,0.1682420357420357,1,1
S Line,143086.0,3.0 L Diesel,Feb 2026,2022.0,Automatic,1,Audi,Diesel,Estate,4,Luxury Trim,7,Grey,,,,,3.0 L,5.06 m,,1.97 m,5/5,86%,72%,92%,71%,Ireland,No,"Franchise Dealer
4.2/5","Cork City, Co. Cork",Q7,70995.0,"2,050 L",,Co. Cork,85 L,,,,,selection1,Audi Q7,-0.152020202020202,1,1
---,16000.0,1.5 L Petrol Hybrid,---,2024.0,Automatic,1,Volvo,Petrol Hybrid,SUV,5,---,5,Black,140.0,,,,,,,,,,,,,UK,,"Franchise Dealer
4.5/5",Co. Dublin,XC40,51950.0,,,Co. Dublin,,,,,,selection1,Volvo XC40,0.1027166193181818,1,3
---,25.0,2.0 L Diesel,---,2025.0,Manual,---,Audi,Diesel,Hatchback,5,---,---,Black,,,,,,,,,,,,,,,,"Franchise Dealer
4.3/5",Co. Waterford,A3,50342.0,,,Co. Waterford,,,,,,selection1,Audi A3,0.2924242424242424,1,3
Active,174005.0,1.6 L Diesel,Jan 2026,2016.0,Manual,3,Peugeot,Diesel,MPV,4,Medium Trim,5,Red,,,,,1.6 L,4.37 m,1.64 m,1.84 m,5/5,87%,97%,86%,31%,Ireland,No,Independent Dealer,Co. Kerry,3008,9990.0,"1,241 L",,Co. Kerry,,,,,,selection1,Peugeot 3008,0.3333333333333333,2,4
TRENDLINE,347652.84548,1.6 L Diesel,Sep 2025,2012.0,Manual,3,Volkswagen,Diesel,Saloon,4,Base Trim,5,Grey,200.0,3.8 L/100 km,4.3 L/100 km,5.2 L/100 km,1.6 L,4.77 m,1.47 m,1.82 m,,,,,,Ireland,No,"Trader
4.1/5 (15)","PortLaoise, Co. Laois",Passat,3350.0,,,,70 L,,,,,selection1,Volkswagen Passat,0.1682420357420357,1,1
Zetec,163246.62158,1.5 L Diesel,Jan 2027,2017.0,Manual,2,Ford,Diesel,Hatchback,4,Base Trim,5,Grey,190.0,3.6 L/100 km,4.1 L/100 km,4.7 L/100 km,1.5 L,4.87 m,1.48 m,1.85 m,5/5,82%,66%,86%,66%,Ireland,No,"Private Seller
No rating yet","Laytown, Co. Meath",Mondeo,11000.0,,,,,,,,,selection1,Ford Mondeo,0.4681818181818182,2,2
Titanium,304.0,1.6 L Diesel,Oct 2025,2012.0,Manual,5,Ford,Diesel,Hatchback,5,Luxury Trim,5,White,190.0,3.7 L/100 km,4.2 L/100 km,5.1 L/100 km,1.6 L,4.36 m,1.48 m,1.82 m,,,,,,Ireland,UK,"Private Seller
No rating yet","Ballybunion, Co. Kerry",Focus,3700.0,,,,,,,,,selection1,Ford Focus,0.0116071428571428,1,4
Ambition,42988.0,1.0 L Petrol,Feb 2026,2022.0,Manual,1,Skoda,Petrol,SUV,5,Medium Trim,5,Black,200.0,,5.5 L/100 km,,1.0 L,4.24 m,,1.79 m,5/5,85%,76%,96%,80%,Ireland,No,"Franchise Dealer
4.7/5",Co. Clare,Kamiq,24000.0,"1,395 L",,Co. Clare,50 L,,,,,selection1,Skoda Kamiq,0.1243196849446849,1,3
---,1.0,1.5 L Diesel,---,2025.0,Automatic,---,BMW,Diesel,SUV,---,---,---,Black,,,,,,,,,,,,,,,,"Franchise Dealer
4.9/5","Cahir, Co. Tipperary",X1,56589.0,,,Co. Tipperary,,,,,,selection1,BMW X1,0.1983333333333333,1,2
Active,144205.0,1.6 L Diesel,Nov 2026,2016.0,Manual,2,Peugeot,Diesel,SUV,4,Medium Trim,5,White,180.0,3.3 L/100 km,3.7 L/100 km,4.4 L/100 km,1.6 L,4.16 m,1.56 m,1.74 m,5/5,77%,70%,88%,72%,Ireland,No,"Private Seller
No rating yet","Waterford City, Co. Waterford",2008,7500.0,,,,,,,,,selection1,Peugeot 2008,0.211038961038961,2,3
Active,241.401,1.6 L Diesel,Nov 2025,2017.0,Manual,2,Peugeot,Diesel,MPV,5,Medium Trim,5,Grey,,,,,1.6 L,4.38 m,1.80 m,1.81 m,3/5,74%,48%,56%,63%,Ireland,UK,"Verified Private Seller
No rating yet","Passage West, Co. Cork",Partner,123.0,"3,000 L",,,60 L,,,,,selection1,Peugeot Partner,0.225,1,3
DYNAMIQUE S NAV,70000.0,1.5 L Diesel,Jul 2025,2019.0,Automatic,1,Renault,Diesel,Hatchback,4,Luxury Trim,5,Black,,,,,1.5 L,4.06 m,1.45 m,1.73 m,5/5,89%,99%,88%,66%,Ireland,No,Independent Dealer,"Letterkenny, Co. Donegal",Clio,,"1,146 L",12 cm,Co. Donegal,45 L,,,,,selection1,Renault Clio,0.3897186147186148,2,4
SVE,7131.0,1.6 L Petrol Hybrid,Jan 2028,2024.0,Automatic,1,Nissan,Petrol Hybrid,SUV,4,Medium Trim,5,Red,190.0,,5.1 L/100 km,,1.6 L,4.21 m,,1.80 m,5/5,85%,73%,94%,81%,Ireland,No,"Franchise Dealer
4.6/5","Dublin 24, Co. Dublin",Juke,30495.0,"1,305 L",,Co. Dublin,46 L,143 hp,166 km/h,1.2 kWh,10.1 sec,selection1,Nissan Juke,0.0907860614228538,1,1
PE,45264.29684,1.0 L Petrol,Feb 2027,2023.0,Manual,1,Kia,Petrol,Estate,5,Medium Trim,5,Blue,200.0,,5.5 L/100 km,,1.0 L,4.14 m,1.52 m,1.76 m,5/5,84%,59%,93%,71%,Ireland,No,"Independent Dealer
4.7/5",Co. Donegal,Stonic,22900.0,"1,155 L",18 cm,Co. Donegal,45 L,,,,,selection1,Kia Stonic,-0.1,1,5
SC,183502.0,2.0 L Diesel,Jul 2025,2013.0,Manual,3,Opel,Diesel,MPV,4,Medium Trim,5,Brown,200.0,3.9 L/100 km,4.4 L/100 km,5.3 L/100 km,2.0 L,4.83 m,1.50 m,1.86 m,,,,,,Ireland,No,"Private Seller
No rating yet","Athenry, Co. Galway",Insignia,3200.0,"1,015 L",,,70 L,,,,,selection1,Opel Insignia,0.4604166666666667,1,5
---,33553.12966,2.0 L Petrol,---,2021.0,Automatic,---,Land Rover,Petrol,---,5,---,5,White,1250.0,,,,,,,,,,,,,UK,,Franchise Dealer,"Dungannon, Co. Tyrone",Range Rover Evoque,34158.15,,,,,,,,,selection1,Land Rover Range Rover Evoque,-0.75,1,2
Titanium,81000.0,1.0 L Petrol,May 2027,2017.0,Manual,1,Ford,Petrol,Hatchback,4,Luxury Trim,5,Grey,190.0,4.2 L/100 km,5.0 L/100 km,6.3 L/100 km,1.0 L,4.36 m,1.47 m,1.82 m,,,,,,Ireland,No,Independent Dealer,"Kilkenny, Co. Kilkenny",Focus,11950.0,,,,,,,,,selection1,Ford Focus,0.0116071428571428,1,4
